"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","16","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","70","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","96","1","0.000000","0","0"
"/Game/Puzzle/Meshes/BlueGlow.BlueGlow","0","0","12","1","0.000000","0","0"
"/Game/Puzzle/Meshes/BlueMaterial.BlueMaterial","0","0","12","1","0.000000","0","0"
"/Game/Puzzle/Meshes/BaseMaterial.BaseMaterial","0","0","33","1","0.000000","0","0"
"/Game/Puzzle/Meshes/RedMaterial.RedMaterial","0","0","12","1","0.000000","0","0"
"/Game/Puzzle/Meshes/GreenMaterial.GreenMaterial","0","0","12","1","0.000000","0","0"
"/Game/Puzzle/Meshes/BlurGlowMaterial.BlurGlowMaterial","0","0","33","1","0.000000","0","0"
"/Game/Puzzle/Meshes/BaseBlurMaterial.BaseBlurMaterial","0","0","68","1","0.000000","0","0"
"/Game/Puzzle/Meshes/BlackMaterial.BlackMaterial","0","0","40","1","0.000000","0","0"
"/Game/Puzzle/Meshes/OrangeMaterial.OrangeMaterial","0","0","33","1","0.000000","0","0"
"/Game/Puzzle/Meshes/YellowMaterial.YellowMaterial","0","0","33","1","0.000000","0","0"
"/Game/Puzzle/Meshes/BeigeGlow.BeigeGlow","0","0","12","1","0.000000","0","0"
